"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","CORN - ACRES PLANTED  -  <b>VALUE</b>","CORN - ACRES PLANTED  -  <b>CV (%)</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>VALUE</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>CV (%)</b>"
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","92,006,000","","84,023,000",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","89,700,000","","81,322,000",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","88,871,000","","81,276,000",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","90,167,000","","82,733,000",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","94,004,000","","86,748,000",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","88,019,000","","80,753,000",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","90,597,000","","83,146,000",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","95,365,000","","87,461,000",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","97,291,000","","87,365,000",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","91,936,000","","83,879,000",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","88,192,000","","81,446,000",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","86,382,000","","79,490,000",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","85,982,000","","78,570,000",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","93,527,000","","86,520,000",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","78,327,000","","70,638,000",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","81,779,000","","75,117,000",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","80,929,000","","73,631,000",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","78,603,000","","70,944,000",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","78,894,000","","69,330,000",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","75,702,000","","68,768,000",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","79,551,000","","72,440,000",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","77,386,000","","70,487,000",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","80,165,000","","72,589,000",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","79,537,000","","72,671,000",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","79,229,000","","72,644,000",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","71,479,000","","65,210,000",""
"SURVEY","1994","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","78,921,000","","72,514,000",""
"SURVEY","1993","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","73,239,000","","62,933,000",""
"SURVEY","1992","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","79,311,000","","72,077,000",""
"SURVEY","1991","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","75,957,000","","68,822,000",""
"SURVEY","1990","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","74,166,000","","66,952,000",""
"SURVEY","1989","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","72,322,000","","64,783,000",""
"SURVEY","1988","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","67,717,000","","58,250,000",""
"SURVEY","1987","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","66,200,000","","59,505,000",""
"SURVEY","1986","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","76,580,000","","68,907,000",""
"SURVEY","1985","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","83,398,000","","75,209,000",""
"SURVEY","1984","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","80,517,000","","71,897,000",""
"SURVEY","1983","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","60,207,000","","51,479,000",""
"SURVEY","1982","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","81,857,000","","72,719,000",""
"SURVEY","1981","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","84,097,000","","74,524,000",""
