"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","COTTON - ACRES HARVESTED  -  <b>VALUE</b>","COTTON - ACRES HARVESTED  -  <b>CV (%)</b>","COTTON - ACRES PLANTED  -  <b>VALUE</b>","COTTON - ACRES PLANTED  -  <b>CV (%)</b>"
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","","","12,185,000",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","11,612,500","","13,735,700",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","9,990,800","","14,100,300",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","11,100,400","","12,717,500",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","9,507,800","","10,073,500",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","8,074,900","","8,580,500",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","9,351,800","","11,148,400",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","7,539,400","","10,407,000",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","9,321,800","","12,264,400",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","9,460,900","","14,735,400",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","10,698,700","","10,974,200",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","7,533,700","","9,149,500",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","7,568,700","","9,471,000",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","10,489,100","","10,827,200",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","12,731,500","","15,274,000",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","13,802,600","","14,245,400",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","13,057,000","","13,658,600",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","12,003,400","","13,479,600",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","12,416,600","","13,957,900",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","13,827,700","","15,768,500",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","13,053,000","","15,517,200",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","13,424,900","","14,873,500",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","10,683,600","","13,392,500",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","13,406,000","","13,898,000",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","12,888,100","","14,652,500",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","16,006,700","","16,931,400",""
